Name,Party,State,FirstYear,Tenure
Akaka,D,HI,,
Alexander,R,TN,,
Allard,R,CO,,
Barrasso,D,CO,,
Baucus,D,MT,,
Bayh,D,IN,,
Bennet,R,UT,,
Biden,D,DE,,
Bingaman,D,NM,,
Bond,R,MO,,
Boxer,D,CA,,
Brown,D,OH,,
Brownback,R,KS,,
Burr,R,NC,,
Byrd,D,WV,,
Cantwell,D,WA,,
Cardin,D,MD,,
Carper,D,DE,,
Casey,D,PA,,
Chambliss,R,GA,,
Clinton,D,NY,,
Coburn,R,OK,,
Cochran,R,MS,,
Coleman,R,MN,,
Collins,R,ME,,
Conrad,D,ND,,
Corker,R,TN,,
Cornyn,R,TX,,
Craig,R,ID,,
Crapo,R,ID,,
Dodd,D,CT,,
Dole,R,KS,,
Domenici,R,NM,,
Dorgan,D,ND,,
Durbin,D,IL,,
Ensign,R,NV,,
Enzi,R,WY,,
Feingold,D,WI,,
Feinstein,D,CA,,
Graham,R,SC,,
Grassley,R,IA,,
Gregg,R,NH,,
Hagel,R,NE,,
Harkin,D,IA,,
Hatch,R,UT,,
Hutchison,R,AR,,
Inhofe,R,OK,,
Inouye,R,HI,,
Isakson,R,GA,,
Johnson,R,WI,,
Kennedy,D,MA,,
Kerry,D,MA,,
Klobuchar,D,MN,,
Kohl,D,WI,,
Kyl,R,AZ,,
Landrieu,D,LA,,
Lautenberg,D,NJ,,
Leahy,D,VT,,
Levin,D,MI,,
Lieberman,I,CT,,
Lincoln,D,AR,,
Lugar,R,IN,,
Martinez,R,FL,,
McCain,R,AZ,,
McCaskill,D,MO,,
Menendez,D,NJ,,
Mikulski,D,MD,,
Murkowski,R,AK,,
Murray,D,WA,,
Nelson,D,FL,,
Obama,D,IL,,
Pryor,D,AR,,
Reed,D,RI,,
Reid,D,NV,,
Roberts,R,KS,,
Rockefeller,D,WV,,
Salazar,D,CO,,
Sanders,I,VT,,
Schumer,D,NY,,
Sessions,R,AL,,
Smith,R,OH,,
Snowe,R,ME,,
Specter,R,PA,,
Stabenow,D,MI,,
Stevens,D,AL,,
Sununu,R,NH,,
Tester,D,MT,,
Thune,R,SD,,
Warner,D,VA,,
Webb,D,VA,,
Wyden,D,OR,,
